model,test_acc,test_macro_f1,valp_auroc_oos,valp_fpr@tpr95,tau,ptest_auroc_oos,ptest_fpr@tpr95,ptest_in_scope_acc_on_accepted,K,runner
tfidf+lr,0.186,0.17975886884917938,0.5086533333333333,0.9343333333333333,0.01394953593482585,0.5179124444444445,0.9357777777777778,0.4109090909090909,1,tfidf+lr
bert-linear(frozen),0.6891111111111111,0.6738104807788208,0.9041066666666667,0.346,0.009676559080969956,0.888090888888889,0.4031111111111111,0.8125209240040174,1,bert-linear
tfidf+lr,0.6237777777777778,0.6164274682578631,0.7844416666666666,0.6116666666666667,0.02334970483598063,0.7505632222222222,0.69,0.843607305936073,5,tfidf+lr
bert-linear(frozen),0.8377777777777777,0.8313159254626836,0.95758,0.138,0.02302437475945776,0.9347626666666666,0.24177777777777779,0.8882521489971347,5,bert-linear
tfidf+lr,0.7204444444444444,0.7161497968276239,0.8027783333333334,0.5846666666666667,0.0450006061175472,0.7954532222222223,0.6104444444444445,0.9089394780677401,10,tfidf+lr
bert-linear(frozen),0.8826666666666667,0.8803529572012281,0.9611233333333333,0.145,0.05208773893506112,0.9501046666666666,0.20177777777777778,0.9338235294117647,10,bert-linear
