model,val_acc,val_macro_f1,pval_acc,pval_macro_f1,test_acc,test_macro_f1,ptest_acc,ptest_macro_f1,K,runner
TFIDF+LR,0.20733333333333334,0.19052244358975226,0.2006451612903226,0.18690238946261267,0.186,0.17975886884917938,0.15218181818181817,0.16717409560643473,1,tfidf+lr
BERT-Linear,0.7033333333333334,0.6863691094104818,0.6806451612903226,0.6711398363837007,0.6891111111111111,0.6738104807788208,0.5638181818181818,0.607998478361655,1,bert-linear
TFIDF+LR,0.6123333333333333,0.5990891582380573,0.5925806451612903,0.5865577408544432,0.6237777777777778,0.6164274682578631,0.5103636363636364,0.5640819444687508,5,tfidf+lr
BERT-Linear,0.8473333333333334,0.8399084357863966,0.82,0.8215219539088896,0.8377777777777777,0.8313159254626836,0.6854545454545454,0.7495569196712412,5,bert-linear
TFIDF+LR,0.7236666666666667,0.7193670363609299,0.7003225806451613,0.705431654901814,0.7204444444444444,0.7161497968276239,0.5894545454545455,0.6516769840515013,10,tfidf+lr
BERT-Linear,0.8933333333333333,0.89077731137672,0.864516129032258,0.8711470878820089,0.8826666666666667,0.8803529572012281,0.7221818181818181,0.7944784126847714,10,bert-linear
